Country,Year,Visitors
Philippines,2017,53963
Singapore,2017,175852
Thailand,2017,140087
Vietnam,2017,23771
China,2017,247235
Japan,2017,222527
Rep. of Korea,2017,142383
Taiwan,2017,47043
Australia,2017,324243
New Zealand,2017,56597
Canada,2018,351040
U.S.A,2018,1456678
Argentina,2018,16345
Brazil,2018,26579
Mexico,2018,19909
Austria,2018,33200
Belgium,2018,44086
Denmark,2018,28195
Finland,2018,21239
France,2018,261653
Germany,2018,274087
Greece,2018,10656
Ireland,2018,39276
Italy,2018,126931
Netherlands,2018,81615
Norway,2018,22631
Portugal,2018,74492
Spain,2018,84356
Sweden,2018,46743
Switzerland,2018,49322
U.K.,2018,1029757
Czech Rep.,2018,13413
Hungary,2018,9201
Kazakhstan,2018,13314
Poland,2018,31555
Russian Fed,2018,262309
Ukraine,2018,26260
Egypt,2018,20486
Kenya,2018,48845
Mauritius,2018,42096
Nigeria,2018,12067
South Africa,2018,58613
Sudan,2018,34712
Tanzania,2018,23443
Bahrain,2018,13915
Iraq,2018,68462
Israel,2018,67366
Oman,2018,95160
Saudi Arabia,2018,47546
Turkey,2018,33825
U.A.E.,2018,59971
Yemen Arab Rep.,2018,21674
Afghanistan,2018,153905
Bangladesh,2018,2256675
Bhutan,2018,26470
Iran,2018,35596
Maldives,2018,62337
Nepal,2018,174096
Pakistan,2018,41659
Sri Lanka,2018,353684
Indonesia,2018,46867
Malaysia,2018,319172
Myanmar,2018,75773
Philippines,2018,53473
Singapore,2018,183581
Thailand,2018,166293
Vietnam,2018,31427
China,2018,281768
Japan,2018,236236
Rep. of Korea,2018,150536
Taiwan,2018,49457
Australia,2018,346486
New Zealand,2018,60664
Canada,2019,351859
U.S.A,2019,1512032
Argentina,2019,12844
Brazil,2019,25422
Mexico,2019,20766
Austria,2019,32332
Belgium,2019,39263
Denmark,2019,26492
Finland,2019,18945
France,2019,247238
Germany,2019,264973
Greece,2019,10317
Ireland,2019,41183
Italy,2019,128572
Netherlands,2019,80313
Norway,2019,21898
Portugal,2019,74743
Spain,2019,83322
Sweden,2019,42318
Switzerland,2019,46826
U.K.,2019,1000292
Czech Rep.,2019,13290
Hungary,2019,9788
Kazakhstan,2019,15709
Poland,2019,33687
Russian Fed,2019,251319
Ukraine,2019,29468
Egypt,2019,21538
Kenya,2019,48639
Mauritius,2019,46814
Nigeria,2019,14033
South Africa,2019,57274
Sudan,2019,34003
Tanzania,2019,23774
Bahrain,2019,15128
Iraq,2019,61907
Israel,2019,73137
Oman,2019,74564
Saudi Arabia,2019,48526
Turkey,2019,35113
U.A.E.,2019,55413
Yemen Arab Rep.,2019,26065
Afghanistan,2019,124120
Bangladesh,2019,2577727
Bhutan,2019,28178
Iran,2019,33288
Maldives,2019,78587
Nepal,2019,164040
Pakistan,2019,39018
Sri Lanka,2019,330861
Indonesia,2019,50177
Malaysia,2019,334579
Myanmar,2019,86842
Philippines,2019,56393
Singapore,2019,190089
Thailand,2019,169956
Vietnam,2019,33636
China,2019,339442
Japan,2019,238903
Rep. of Korea,2019,149445
Taiwan,2019,48195
Australia,2019,367241
New Zealand,2019,65551
Canada,2020,122868
U.S.A,2020,394092
Argentina,2020,4294
Brazil,2020,8092
Mexico,2020,4580
Austria,2020,9182
Belgium,2020,11022
Denmark,2020,8252
Finland,2020,4310
France,2020,74243
Germany,2020,72558
Greece,2020,2854
Ireland,2020,9708
Italy,2020,31186
Netherlands,2020,26258
Norway,2020,6224
Portugal,2020,31005
Spain,2020,16335
Sweden,2020,11992
Switzerland,2020,12675
U.K.,2020,291874
Czech Rep.,2020,3607
Hungary,2020,2964
Kazakhstan,2020,5918
Poland,2020,12161
Russian Fed,2020,102166
Ukraine,2020,10619
Egypt,2020,4886
Kenya,2020,12779
Mauritius,2020,11410
Nigeria,2020,3819
South Africa,2020,12561
Sudan,2020,9114
Tanzania,2020,6501
Bahrain,2020,3429
Iraq,2020,17823
Israel,2020,17444
Oman,2020,15430
Saudi Arabia,2020,10423
Turkey,2020,10853
U.A.E.,2020,7387
Yemen Arab Rep.,2020,5882
Afghanistan,2020,47561
Bangladesh,2020,549273
Bhutan,2020,7901
Iran,2020,7090
Maldives,2020,14536
Nepal,2020,40822
Pakistan,2020,14232
Sri Lanka,2020,68646
Indonesia,2020,11795
Malaysia,2020,69897
Myanmar,2020,35291
Philippines,2020,16052
Singapore,2020,33747
Thailand,2020,52626
Vietnam,2020,8828
China,2020,39586
Japan,2020,48191
Rep. of Korea,2020,32302
Taiwan,2020,8969
Australia,2020,86758
New Zealand,2020,16653
